160,Si Supieras,Daddy Yankee,5119403,https://open.spotify.com/track/7MRU4vOkywuhZ9kbFiPuiu,2019-09-13,Global,2019-09-13,Global
161,HP,Maluma,5102376,https://open.spotify.com/track/1LIqNVhaIgxXUt2eVoIQJ3,2019-09-13,Global,2019-09-13,Global
162,F.N,Lil Tjay,5079842,https://open.spotify.com/track/0UPBidRYcgJ2mjZlk08V8x,2019-09-13,Global,2019-09-13,Global
163,"Go Loko (feat. Tyga, Jon Z)",YG,5058752,https://open.spotify.com/track/1kK6DwzyXJSp58u5HYWwuD,2019-09-13,Global,2019-09-13,Global
164,Indeciso,Reik,5046371,https://open.spotify.com/track/59s0s39NFWScuHDbHytI14,2019-09-13,Global,2019-09-13,Global
165,Doin' Time,Lana Del Rey,5044855,https://open.spotify.com/track/0Oqc0kKFsQ6MhFOLBNZIGX,2019-09-13,Global,2019-09-13,Global
166,Going Bad (feat. Drake),Meek Mill,5031336,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc,2019-09-13,Global,2019-09-13,Global
167,Shots,Lil Tecca,4986800,https://open.spotify.com/track/5xjei7JnROsAzLY2a7RdZU,2019-09-13,Global,2019-09-13,Global
168,Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,4975723,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6,2019-09-13,Global,2019-09-13,Global
169,CANGURO,WOS,4943081,https://open.spotify.com/track/4wyNKAZe82BNlp2lHiR1FX,2019-09-13,Global,2019-09-13,Global
170,Another One Bites The Dust - Remastered 2011,Queen,4939810,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7,2019-09-13,Global,2019-09-13,Global
171,223's (feat. 9lokknine),YNW Melly,4935450,https://open.spotify.com/track/4sjiIpEv617LDXaidKioOI,2019-09-13,Global,2019-09-13,Global
172,Thunder,Imagine Dragons,4895860,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB,2019-09-13,Global,2019-09-13,Global
173,Te Quemaste,Manuel Turizo,4891758,https://open.spotify.com/track/4fj7e6Tc48Bmomwyz2Z2XC,2019-09-13,Global,2019-09-13,Global
174,Graduation (with Juice WRLD),benny blanco,4874384,https://open.spotify.com/track/6cjSh516BbrNUs213jDAGm,2019-09-13,Global,2019-09-13,Global
175,Here With Me,Marshmello,4850815,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac,2019-09-13,Global,2019-09-13,Global
